origin,destination,airline,duration_min,month,day_of_week,dep_hour,delayed
CMN,IAD,RAM,419,2,3,20,0
RAK,BCN,VLG,143,10,3,12,0
CDG,CMN,RAM,179,6,6,20,0
RAK,STN,RYR,198,12,1,16,0
AGA,ORY,RAM,172,2,5,8,0
CMN,TUN,RAM,101,12,0,16,0
CMN,AMS,RAM,208,8,6,18,1
CMN,AMS,RAM,196,5,0,13,0
CMN,LHR,RAM,175,4,5,7,1
CMN,LHR,RAM,184,12,2,22,0
MAD,CMN,RAM,134,5,4,17,0
CMN,CDG,RAM,158,7,6,13,0
CMN,LYS,RAM,145,12,5,15,0
CMN,YUL,RAM,443,4,6,21,1
CMN,NDR,RAM,67,3,6,7,1
CMN,OUD,RAM,60,4,3,17,0
MAD,CMN,RAM,128,4,3,13,0
CMN,AMS,RAM,179,9,5,6,0
RAK,MAD,RAM,136,3,2,18,0
CMN,MAD,RAM,112,1,3,18,0
RAK,BCN,RAM,149,9,6,19,1
RAK,CDG,RAM,163,12,1,21,0
CMN,IAD,RAM,472,7,0,15,1
FEZ,BRU,RAM,194,6,6,14,0
FEZ,BRU,RAM,192,1,1,20,0
CMN,OUD,RAM,64,8,1,4,0
CMN,FCO,RAM,167,5,4,15,0
CMN,RAK,RAM,46,8,6,6,0
ORY,RAK,RAM,182,12,3,9,1
RAK,STN,RYR,198,1,5,21,1
CMN,RAK,RAM,47,9,4,6,0
CMN,AGA,RAM,53,9,3,14,0
AGA,ORY,RAM,178,8,0,6,0
CMN,ABJ,RAM,256,9,6,6,1
RAK,MAD,RAM,122,6,6,12,1
STN,RAK,RYR,221,3,4,11,0
TNG,CDG,RAM,145,1,0,16,1
AGA,CDG,RAM,185,6,5,4,0
CMN,ALG,RAM,108,10,0,15,0
CDG,RAK,RAM,171,8,4,19,0
CDG,CMN,RAM,184,3,3,19,1
CMN,FEZ,RAM,49,5,0,16,1
CMN,LHR,RAM,173,8,1,4,1
RAK,STN,RYR,194,12,1,21,1
RBA,MAD,RAM,110,11,5,8,0
CDG,RAK,RAM,188,8,5,5,1
FEZ,ORY,RAM,161,4,0,8,1
FEZ,ORY,RAM,152,11,2,13,0
CDG,CMN,RAM,172,12,0,6,0
RAK,CDG,RAM,187,11,6,12,0
CDG,AGA,RAM,203,8,0,3,0
CDG,RAK,RAM,187,11,3,6,0
ORY,RAK,RAM,180,10,2,18,1
RAK,STN,RYR,210,8,6,0,0
CMN,MAD,RAM,116,12,6,8,0
RAK,CDG,RAM,184,4,2,19,1
CMN,CDG,RAM,167,8,3,17,1
CMN,MAD,RAM,112,1,0,9,1
RAK,BCN,RAM,144,7,3,7,0
RAK,CDG,RYR,172,10,4,19,0
CMN,MAD,RAM,111,4,3,18,1
AGA,STN,RYR,202,9,0,21,1
CMN,CAI,RAM,223,10,1,7,1
CMN,FEZ,RAM,51,8,2,6,0
CMN,LOS,RAM,307,11,5,21,0
CMN,MAD,RAM,112,6,1,14,0
AGA,STN,RYR,198,4,5,13,1
RAK,CDG,RYR,188,8,2,7,1
CMN,LOS,RAM,303,12,0,5,1
CMN,TUN,RAM,110,8,4,6,0
CMN,MAD,RAM,118,11,5,9,1
CMN,DKR,RAM,193,11,2,19,0
CMN,CDG,RAM,154,1,4,16,0
RAK,BCN,RAM,136,2,5,11,1
CMN,RAK,RAM,42,7,2,7,0
CDG,FEZ,RAM,166,11,0,19,0
CMN,CDG,RAM,174,6,1,20,0
CMN,RAK,RAM,42,11,6,19,0
RAK,LHR,RAM,208,5,2,19,1
MAD,CMN,RAM,121,6,1,17,0
AGA,STN,RYR,212,5,4,13,0
CMN,IAD,RAM,426,6,4,22,1
CMN,MRS,RAM,160,7,3,6,0
CMN,MAD,RAM,118,7,2,17,1
RAK,MAD,RAM,123,5,4,15,1
CMN,LHR,RAM,170,6,6,9,0
FEZ,CDG,RAM,157,8,4,18,1
LHR,RAK,RAM,204,1,3,7,1
RAK,LHR,RAM,197,7,5,15,1
CMN,CDG,RAM,153,1,0,12,1
FEZ,MAD,IBE,117,8,1,13,1
RAK,MAD,RAM,130,6,4,18,0
RAK,LHR,RAM,188,7,5,3,1
STN,AGA,RYR,232,10,4,15,0
CDG,CMN,RAM,178,9,5,14,1
CMN,ALG,RAM,108,12,4,2,0
RAK,STN,RYR,200,4,4,22,1
LHR,RAK,RAM,199,6,1,18,0
MAD,CMN,RAM,124,4,3,20,1
JFK,CMN,RAM,390,3,3,16,0
JFK,CMN,RAM,433,8,1,16,1
CMN,NDR,RAM,68,8,6,22,1
CMN,IAD,RAM,472,7,6,7,0
BCN,CMN,RAM,142,3,2,15,0
FEZ,BRU,RAM,191,8,1,7,1
CDG,RAK,RAM,184,7,3,20,1
RAK,LHR,RAM,202,8,0,19,0
ORY,RAK,RAM,172,6,6,10,1
RAK,STN,RYR,208,2,1,18,0
RAK,STN,RYR,196,6,1,19,0
CDG,CMN,RAM,174,5,3,12,1
FEZ,MAD,IBE,128,4,4,6,0
MAD,CMN,RAM,132,8,3,6,0
JFK,CMN,RAM,415,9,4,18,0
MAD,CMN,RAM,134,12,6,4,0
STN,AGA,RYR,230,8,5,16,0
RAK,STN,RYR,203,5,0,18,0
AGA,STN,RYR,215,7,3,13,1
RAK,FCO,RYR,182,8,5,20,1
LHR,CMN,RAM,187,6,5,23,0
JFK,CMN,RAM,441,8,2,19,1
RAK,BCN,RAM,141,10,5,18,1
CMN,YUL,RAM,446,8,4,16,1
BCN,CMN,RAM,129,3,2,17,0
RBA,MAD,RAM,102,5,1,18,1
AGA,STN,RYR,204,12,0,13,0
CMN,ABJ,RAM,281,6,3,20,1
STN,AGA,RYR,240,10,4,22,1
RAK,BCN,VLG,146,3,0,14,0
CMN,CDG,RAM,177,12,3,16,1
CMN,NBO,RAM,446,4,0,9,1
JFK,CMN,RAM,434,12,0,6,0
CMN,AMS,RAM,181,1,2,17,1
CMN,GVA,RAM,194,8,4,8,0
CMN,AGA,RAM,55,3,4,18,1
RAK,MAD,RAM,124,8,4,16,1
TNG,BCN,RYR,126,11,6,20,1
CMN,AMS,RAM,194,5,1,15,0
MAD,CMN,RAM,133,6,3,21,0
CMN,RAK,RAM,44,1,4,18,1
RAK,BCN,RAM,150,8,1,16,1
CMN,RAK,RAM,43,8,2,3,0
CDG,CMN,RAM,177,8,4,16,1
RAK,CMN,RAM,41,12,6,17,1
CDG,RAK,RAM,174,2,3,15,1
CMN,MAD,RAM,114,7,4,17,0
CDG,AGA,RAM,202,5,6,10,0
FEZ,ORY,RAM,165,4,5,19,0
CDG,CMN,RAM,183,5,0,0,0
CMN,OUD,RAM,59,12,6,12,1
CDG,AGA,RAM,184,4,5,6,0
CMN,IAD,RAM,417,2,1,14,0
CMN,MAD,RAM,117,6,1,15,0
RAK,CDG,RAM,176,4,5,12,0
CMN,FCO,RAM,168,5,5,17,0
RAK,BCN,RAM,132,7,4,14,0
FEZ,CDG,RAM,172,10,4,21,0
AGA,CDG,RAM,195,10,1,14,1
RAK,LHR,RAM,183,7,4,15,1
LHR,CMN,RAM,198,10,4,16,0
AGA,CMN,RAM,52,3,3,23,1
CMN,JFK,RAM,403,4,0,22,1
CMN,JFK,RAM,419,3,5,21,1
RAK,FCO,RYR,177,12,4,21,0
STN,AGA,RYR,214,9,3,0,0
CMN,OUD,RAM,63,10,6,9,1
AGA,CMN,RAM,58,9,4,5,0
RAK,CMN,RAM,47,1,6,7,0
RAK,LHR,RAM,189,4,5,16,0
MAD,CMN,RAM,127,11,1,7,0
RAK,STN,RYR,199,7,4,13,0
CMN,CDG,RAM,154,9,5,8,0
CMN,BCN,RAM,135,4,5,19,0
CMN,CDG,RAM,175,2,0,19,0
MAD,CMN,RAM,120,10,0,21,1
RAK,MAD,RAM,134,4,0,6,0
RAK,CDG,RAM,188,4,4,9,0
CMN,CAI,RAM,201,6,3,21,0
TNG,CDG,RAM,144,7,5,20,1
AGA,CDG,RAM,176,8,6,22,1
CMN,AGA,RAM,56,12,5,8,0
RAK,LHR,RAM,182,9,4,12,0
CMN,JFK,RAM,420,7,4,20,1
LHR,CMN,RAM,195,3,1,19,0
AGA,CDG,RAM,188,3,4,22,1
TNG,MAD,RAM,108,3,2,12,1
MAD,CMN,RAM,115,12,0,16,0
CMN,RAK,RAM,47,10,5,16,0
RAK,ORY,RAM,176,2,4,12,0
CMN,MAD,RAM,116,5,0,7,1
RAK,FCO,RYR,176,5,6,10,0
RAK,ORY,RAM,171,5,0,12,1
CMN,CDG,RAM,170,1,1,18,0
RAK,CDG,RAM,165,6,5,17,1
FEZ,CDG,RAM,165,11,5,11,0
RAK,CDG,RYR,170,2,2,15,0
CMN,JFK,RAM,452,2,4,5,0
FEZ,CMN,RAM,46,8,2,19,1
CMN,FRA,RAM,195,10,2,14,1
CMN,GVA,RAM,191,4,6,19,0
CMN,TUN,RAM,101,11,5,15,1
CMN,RAK,RAM,43,9,4,3,1
RAK,BCN,RAM,151,7,1,10,1
CDG,AGA,RAM,202,10,2,7,0
CMN,TNG,RAM,53,5,6,11,1
FEZ,CDG,RAM,171,4,4,18,0
MAD,CMN,RAM,123,4,4,19,1
CDG,FEZ,RAM,172,3,2,20,1
AGA,STN,RYR,226,11,0,13,0
CMN,BRU,RAM,195,6,4,14,1
CMN,IAD,RAM,436,11,6,22,1
AGA,LHR,RAM,198,11,5,17,1
CMN,FRA,RAM,196,3,2,20,1
BCN,CMN,RAM,126,1,5,8,0
AGA,LHR,RAM,202,12,6,18,1
CMN,RAK,RAM,43,4,2,8,0
CMN,LHR,RAM,185,6,2,15,1
RAK,LHR,RAM,199,3,5,6,1
STN,RAK,RYR,223,12,4,15,0
AGA,CDG,RAM,192,2,3,19,1
CMN,NDR,RAM,74,10,1,15,0
CDG,AGA,RAM,205,11,2,15,0
RAK,BCN,VLG,146,12,2,13,0
CMN,OUD,RAM,62,7,0,21,0
CDG,CMN,RAM,178,8,0,6,1
CMN,LHR,RAM,186,7,4,21,1
RAK,CDG,RYR,169,7,5,17,1
CMN,TUN,RAM,109,4,1,17,0
CMN,LHR,RAM,193,8,5,13,0
CMN,YUL,RAM,424,4,6,16,1
AGA,CDG,RAM,178,8,5,16,1
CMN,RAK,RAM,45,10,3,0,0
CMN,LHR,RAM,194,1,5,14,0
ORY,RAK,RAM,185,11,3,1,0
JFK,CMN,RAM,394,6,2,16,1
AGA,CDG,RAM,177,8,2,11,1
ORY,RAK,RAM,184,4,5,16,0
FEZ,CMN,RAM,53,12,0,13,1
CDG,CMN,RAM,170,8,6,7,0
LHR,RAK,RAM,217,12,4,19,1
MAD,CMN,RAM,132,10,6,14,0
ORY,RAK,RAM,170,11,4,20,0
RBA,CDG,RAM,162,4,5,19,0
RAK,CMN,RAM,41,8,5,14,1
RAK,CDG,RAM,162,5,4,9,0
FEZ,BCN,VLG,125,10,5,13,1
CMN,JFK,RAM,449,12,2,5,0
CMN,CDG,RAM,161,4,0,14,1
RBA,CDG,RAM,162,9,3,18,1
LHR,CMN,RAM,206,9,4,9,0
CMN,CDG,RAM,165,5,4,18,1
CMN,TUN,RAM,118,3,0,19,1
CMN,NBO,RAM,419,5,4,15,0
CMN,LHR,RAM,189,3,4,8,1
FEZ,MAD,IBE,120,11,4,16,0
RAK,CDG,RAM,165,10,6,12,1
RAK,MAD,RAM,127,10,1,9,0
CMN,LYS,RAM,163,9,0,11,1
RAK,BCN,RAM,148,6,6,7,1
STN,AGA,RYR,214,11,5,9,1
RAK,CMN,RAM,45,10,2,11,0
AGA,CMN,RAM,52,11,6,6,0
CDG,RAK,RAM,185,7,0,23,0
CMN,OUD,RAM,59,5,2,21,0
JFK,CMN,RAM,435,8,3,7,0
CMN,CDG,RAM,177,9,3,23,0
STN,AGA,RYR,239,9,3,15,1
MAD,CMN,RAM,117,6,3,10,0
CDG,CMN,RAM,161,7,2,19,0
CMN,FEZ,RAM,47,2,5,11,0
CDG,FEZ,RAM,188,8,6,15,0
LHR,CMN,RAM,202,7,5,10,1
STN,AGA,RYR,228,4,1,17,1
TNG,MAD,RAM,102,7,0,21,1
RAK,CMN,RAM,43,5,4,20,1
ORY,RAK,RAM,193,8,5,1,1
AGA,LHR,RAM,199,10,6,7,0
STN,AGA,RYR,225,6,2,9,1
CDG,AGA,RAM,190,10,3,6,0
RAK,FCO,RYR,183,3,0,0,0
ORY,RAK,RAM,174,8,1,8,1
RAK,MAD,RAM,124,6,5,20,1
CMN,NDR,RAM,65,6,2,20,1
CMN,DKR,RAM,188,4,4,22,0
CMN,LHR,RAM,183,4,2,17,1
STN,AGA,RYR,228,7,1,12,0
CMN,AMS,RAM,192,10,6,7,1
RAK,ORY,RAM,157,7,4,16,0
CMN,LHR,RAM,171,8,3,19,1
RAK,BCN,VLG,134,9,6,12,1
CMN,AGA,RAM,59,5,0,13,0
AGA,ORY,RAM,170,6,1,8,1
CMN,AMS,RAM,200,11,0,18,1
AGA,CMN,RAM,51,1,2,7,0
CMN,YUL,RAM,447,7,5,20,1
RAK,LHR,RAM,188,7,4,18,0
RAK,BCN,RAM,143,7,2,19,1
CMN,OUD,RAM,60,10,6,11,1
CMN,LHR,RAM,181,7,2,15,0
CDG,AGA,RAM,195,11,1,17,1
CMN,ALG,RAM,112,5,5,21,0
CMN,LHR,RAM,197,5,5,20,0
CMN,AGA,RAM,55,12,4,11,1
RAK,STN,RYR,211,5,2,17,0
AGA,STN,RYR,207,4,3,9,1
CMN,FRA,RAM,181,7,2,23,1
STN,AGA,RYR,225,12,0,14,1
FEZ,BRU,RAM,194,10,0,18,0
CDG,RAK,RAM,181,6,1,8,0
RAK,CDG,RYR,165,7,5,12,1
AGA,CMN,RAM,58,12,1,18,1
TNG,BCN,RYR,124,9,6,20,1
RAK,LHR,RAM,193,2,5,18,0
AGA,CDG,RAM,196,8,1,7,1
FEZ,CDG,RAM,160,12,5,4,0
CMN,CDG,RAM,171,4,4,15,1
RAK,STN,RYR,185,10,5,9,1
CMN,OUD,RAM,67,6,2,20,0
CMN,AGA,RAM,56,3,5,20,1
TNG,CDG,RAM,143,10,4,14,1
LHR,CMN,RAM,204,8,6,16,1
CMN,NDR,RAM,73,1,6,8,0
STN,RAK,RYR,202,10,5,10,0
CMN,FCO,RAM,163,7,0,6,1
AGA,CDG,RAM,183,8,2,14,1
RBA,CDG,RAM,153,8,3,21,1
LHR,CMN,RAM,206,6,2,8,1
RAK,CMN,RAM,43,3,4,7,0
CMN,FEZ,RAM,52,9,0,8,0
CMN,CDG,RAM,163,9,5,8,0
RAK,CMN,RAM,44,11,0,6,0
CMN,AGA,RAM,57,8,6,9,0
CDG,CMN,RAM,182,1,3,9,0
JFK,CMN,RAM,449,6,4,19,1
CMN,CAI,RAM,204,2,0,21,1
CMN,ABJ,RAM,267,8,6,6,1
AGA,STN,RYR,223,4,5,7,0
CMN,TUN,RAM,117,12,1,8,1
AGA,CMN,RAM,55,3,0,13,0
CMN,NDR,RAM,71,10,2,23,0
CMN,YUL,RAM,449,8,0,6,0
RAK,BCN,RAM,149,5,0,19,0
RAK,CDG,RYR,187,10,0,14,0
RAK,STN,RYR,197,12,3,19,0
CMN,CAI,RAM,218,3,6,4,0
MAD,CMN,RAM,125,10,0,2,0
CDG,CMN,RAM,173,10,5,8,1
LHR,CMN,RAM,201,10,0,7,1
RAK,CMN,RAM,43,5,5,21,0
CMN,JFK,RAM,445,10,3,9,0
CMN,LHR,RAM,180,2,1,19,1
RAK,BCN,VLG,142,2,6,18,0
CMN,LHR,RAM,183,5,4,7,1
CMN,LHR,RAM,173,4,6,16,0
RAK,BCN,VLG,135,7,5,16,0
RAK,STN,RYR,209,8,1,7,1
CDG,CMN,RAM,187,5,2,16,0
LHR,RAK,RAM,191,9,5,11,0
RAK,LHR,RAM,181,1,4,17,1
ORY,RAK,RAM,186,4,4,20,0
AGA,ORY,RAM,185,5,5,19,0
CMN,JFK,RAM,427,6,3,13,0
RAK,LHR,RAM,202,6,6,6,0
CDG,FEZ,RAM,186,1,5,5,0
CMN,FEZ,RAM,47,12,5,13,0
CMN,RAK,RAM,42,10,0,15,0
RAK,MAD,RAM,122,1,3,14,0
RAK,ORY,RAM,158,5,6,18,1
RAK,ORY,RAM,183,6,2,1,0
CDG,RBA,RAM,165,4,1,3,0
TNG,MAD,RAM,108,12,2,20,0
CMN,YUL,RAM,452,9,0,19,1
CMN,MAD,RAM,119,11,3,18,0
CMN,NBO,RAM,389,9,5,18,1
JFK,CMN,RAM,436,5,4,14,0
CMN,AGA,RAM,55,7,5,19,0
CMN,LYS,RAM,147,2,0,21,0
MAD,CMN,RAM,134,6,4,22,1
RAK,CMN,RAM,42,10,4,8,1
CMN,LHR,RAM,188,9,4,8,1
CMN,MRS,RAM,160,10,3,10,1
RAK,LHR,RAM,203,5,6,13,0
RAK,STN,RYR,193,2,0,5,0
CMN,IAD,RAM,447,7,6,7,1
RAK,BCN,RAM,132,7,6,8,1
CMN,BCN,RAM,124,8,6,10,1
RAK,CDG,RYR,175,2,5,7,0
RAK,CDG,RAM,187,1,6,20,1
TNG,BCN,RYR,125,9,0,14,0
CDG,RAK,RAM,182,8,6,23,1
RAK,LHR,RAM,199,4,1,7,0
RAK,STN,RYR,201,10,4,18,1
LHR,CMN,RAM,209,5,4,12,1
CMN,MAD,RAM,123,7,3,11,1
CDG,FEZ,RAM,189,3,3,5,1
CMN,JFK,RAM,411,12,1,20,1
CDG,AGA,RAM,192,9,4,15,1
CMN,LHR,RAM,184,4,5,23,1
FEZ,BRU,RAM,188,12,0,16,0
CMN,OUD,RAM,63,6,2,22,0
CMN,CAI,RAM,213,6,6,5,1
RAK,BCN,RAM,132,3,3,17,0
RAK,LHR,RAM,189,6,5,20,0
CMN,RAK,RAM,44,12,0,6,0
CMN,CDG,RAM,160,6,5,9,0
RAK,FCO,RYR,197,9,6,20,1
RAK,FCO,RYR,178,12,5,15,0
CMN,NBO,RAM,451,8,0,7,0
CMN,AMS,RAM,182,5,5,0,0
CMN,FRA,RAM,181,5,3,21,1
FEZ,ORY,RAM,162,4,4,16,0
CMN,LHR,RAM,188,12,5,21,0
RAK,CDG,RYR,188,11,0,8,0
CMN,YUL,RAM,479,8,5,18,1
CMN,LYS,RAM,156,2,3,20,0
RAK,BCN,RAM,144,10,6,20,1
CMN,RAK,RAM,43,10,0,9,1
RAK,BCN,VLG,150,9,3,19,0
CDG,FEZ,RAM,168,3,6,15,0
STN,RAK,RYR,196,5,5,6,0
CDG,AGA,RAM,192,10,6,22,1
CDG,RAK,RAM,179,6,6,17,0
CMN,FEZ,RAM,52,4,6,20,1
RAK,BCN,RAM,144,8,2,19,0
ORY,RAK,RAM,188,8,1,18,0
RAK,ORY,RAM,173,7,1,8,0
CMN,YUL,RAM,422,5,2,22,1
CMN,BRU,RAM,177,10,0,17,1
CMN,LHR,RAM,188,8,5,17,0
AGA,LHR,RAM,196,11,4,13,0
JFK,CMN,RAM,387,10,6,16,1
CMN,LOS,RAM,346,12,3,15,1
CMN,FEZ,RAM,49,9,4,13,0
RAK,CDG,RYR,187,3,5,8,0
CMN,LHR,RAM,195,6,1,17,1
FEZ,ORY,RAM,161,9,0,22,0
CMN,MRS,RAM,147,3,0,18,0
ORY,RAK,RAM,191,9,3,19,1
RAK,BCN,RAM,138,5,4,19,0
CMN,FRA,RAM,186,4,0,21,0
LHR,CMN,RAM,197,7,4,11,1
BCN,CMN,RAM,141,2,3,14,0
CMN,LHR,RAM,185,9,2,4,1
CMN,JFK,RAM,435,6,4,20,1
CMN,NDR,RAM,68,8,0,17,1
RAK,CDG,RAM,167,2,4,18,0
CDG,RBA,RAM,162,6,1,20,1
ORY,RAK,RAM,184,10,2,19,0
AGA,CDG,RAM,179,9,6,5,1
CMN,MAD,RAM,114,7,4,21,0
CMN,JFK,RAM,467,4,4,3,1
RAK,BCN,RAM,138,8,3,8,1
CMN,RAK,RAM,48,9,4,6,1
CDG,CMN,RAM,185,7,4,16,1
RAK,BCN,RAM,129,9,6,8,1
CDG,CMN,RAM,176,6,6,8,0
LHR,RAK,RAM,202,6,1,18,0
RAK,BCN,VLG,144,12,4,14,0
AGA,STN,RYR,221,12,0,21,1
CMN,MAD,RAM,115,3,2,5,0
MAD,CMN,RAM,123,4,1,18,0
LHR,RAK,RAM,214,8,5,10,0
CMN,NDR,RAM,70,7,1,15,0
CMN,TUN,RAM,101,2,4,15,1
CDG,RAK,RAM,171,12,0,18,1
CDG,RAK,RAM,171,10,0,8,0
CMN,LHR,RAM,193,10,0,18,1
STN,AGA,RYR,223,9,0,2,1
CMN,MRS,RAM,147,3,6,21,0
AGA,LHR,RAM,209,6,5,18,0
RAK,MAD,RAM,136,5,1,7,0
STN,RAK,RYR,225,12,6,15,1
CDG,CMN,RAM,174,2,5,8,0
CMN,RAK,RAM,47,7,0,8,0
CMN,FRA,RAM,184,10,4,6,1
AGA,CDG,RAM,170,6,0,18,1
FEZ,ORY,RAM,156,7,5,6,0
ORY,RAK,RAM,181,3,2,21,1
CMN,DKR,RAM,207,4,5,19,0
CMN,TNG,RAM,46,9,0,18,1
CMN,JFK,RAM,424,9,2,17,0
CMN,AGA,RAM,51,7,1,11,0
CMN,MAD,RAM,125,11,2,8,0
CMN,LOS,RAM,330,6,5,19,1
CMN,MAD,RAM,119,9,6,12,1
CMN,CDG,RAM,165,9,6,20,0
CMN,MRS,RAM,160,7,5,7,0
CMN,LHR,RAM,195,10,3,7,1
CMN,OUD,RAM,66,7,2,7,1
STN,AGA,RYR,221,8,4,15,0
CMN,CDG,RAM,158,1,0,18,1
CMN,FCO,RAM,166,9,6,9,0
AGA,CDG,RAM,194,8,4,7,0
RAK,CDG,RAM,181,11,6,6,0
TNG,CDG,RAM,166,3,1,15,0
RAK,BCN,RAM,131,4,4,22,0
RAK,FCO,RYR,193,7,6,11,1
STN,RAK,RYR,208,5,2,17,0
RAK,FCO,RYR,192,3,5,8,1
CMN,BRU,RAM,173,3,4,8,0
CMN,CAI,RAM,208,9,6,19,0
CDG,CMN,RAM,182,9,4,10,1
RAK,STN,RYR,215,11,5,17,1
LHR,RAK,RAM,212,5,3,15,1
STN,AGA,RYR,214,7,3,11,1
BCN,CMN,RAM,139,3,1,8,1
RAK,LHR,RAM,181,3,2,0,0
MAD,CMN,RAM,132,1,2,13,0
STN,RAK,RYR,202,3,2,17,0
TNG,BCN,RYR,125,5,4,14,0
STN,AGA,RYR,209,8,2,14,0
CMN,AGA,RAM,51,8,1,18,1
AGA,CMN,RAM,52,7,5,18,1
STN,AGA,RYR,213,1,3,14,1
JFK,CMN,RAM,417,7,4,16,1
CMN,AMS,RAM,192,7,4,15,1
RAK,LHR,RAM,188,10,6,17,0
CMN,NDR,RAM,72,11,4,4,1
CDG,RAK,RAM,182,8,2,7,1
CMN,BCN,RAM,136,9,6,20,0
CMN,AGA,RAM,56,6,0,17,1
CMN,LOS,RAM,308,8,6,7,1
CDG,AGA,RAM,193,7,5,11,1
CDG,FEZ,RAM,187,12,0,14,1
TNG,MAD,RAM,100,9,2,8,1
FEZ,BRU,RAM,177,5,6,3,0
TNG,CDG,RAM,147,11,5,6,0
AGA,CDG,RAM,172,7,5,18,1
RAK,CDG,RAM,177,3,1,10,1
AGA,CDG,RAM,175,10,0,6,0
TNG,CDG,RAM,147,7,6,18,0
CMN,ABJ,RAM,258,2,4,20,0
JFK,CMN,RAM,431,6,0,20,0
CMN,ABJ,RAM,259,7,4,8,1
ORY,RAK,RAM,185,5,5,20,1
CDG,CMN,RAM,186,5,1,17,0
STN,AGA,RYR,239,3,0,7,0
CMN,MAD,RAM,113,9,5,19,1
CMN,MAD,RAM,112,1,4,20,1
CMN,BCN,RAM,120,5,0,16,0
RAK,STN,RYR,205,4,1,20,1
CMN,JFK,RAM,436,6,4,10,1
CMN,CAI,RAM,195,10,6,12,0
FEZ,CMN,RAM,50,5,1,11,0
TNG,BCN,RYR,134,11,1,17,0
TNG,BCN,RYR,136,11,4,21,1
RAK,STN,RYR,190,6,6,6,0
CDG,RBA,RAM,180,10,6,8,1
STN,AGA,RYR,222,5,0,5,1
CMN,AGA,RAM,55,4,5,11,1
CDG,CMN,RAM,165,11,1,2,1
CMN,CDG,RAM,173,9,2,7,0
MAD,CMN,RAM,127,4,0,9,1
FEZ,CMN,RAM,47,1,3,7,0
STN,RAK,RYR,194,9,4,6,1
CDG,RAK,RAM,188,5,0,6,0
RAK,BCN,RAM,149,2,3,6,0
TNG,CDG,RAM,158,5,2,12,0
FEZ,CMN,RAM,46,6,0,7,0
AGA,ORY,RAM,172,4,3,22,0
STN,AGA,RYR,239,2,5,15,0
CMN,IAD,RAM,452,5,6,17,0
LHR,RAK,RAM,197,7,5,19,1
CMN,RAK,RAM,47,10,5,17,0
FEZ,CDG,RAM,175,10,5,18,0
CDG,AGA,RAM,179,3,2,15,1
CDG,CMN,RAM,178,7,2,20,0
CDG,CMN,RAM,185,11,3,17,1
LHR,CMN,RAM,198,1,1,19,0
RAK,STN,RYR,212,7,2,19,1
ORY,RAK,RAM,168,7,5,4,1
CMN,AGA,RAM,54,10,1,16,0
CDG,AGA,RAM,193,7,0,20,0
JFK,CMN,RAM,426,2,4,17,0
CMN,MAD,RAM,113,9,5,3,1
TNG,BCN,RYR,136,8,3,21,1
LHR,RAK,RAM,202,7,2,22,1
RAK,FCO,RYR,200,5,6,6,1
RAK,CDG,RYR,176,2,5,15,0
LHR,CMN,RAM,196,12,4,16,0
CDG,CMN,RAM,187,11,3,6,0
CMN,NBO,RAM,416,12,5,16,1
CMN,ALG,RAM,109,12,6,2,1
AGA,CDG,RAM,195,3,3,18,0
RAK,BCN,VLG,133,5,4,6,0
AGA,CMN,RAM,51,7,5,22,1
RBA,CDG,RAM,155,6,3,5,0
RAK,BCN,RAM,147,12,4,16,1
RAK,BCN,RAM,130,5,0,6,0
AGA,CDG,RAM,194,3,6,7,0
LHR,CMN,RAM,198,7,6,20,1
CMN,NDR,RAM,73,7,6,8,0
RAK,ORY,RAM,159,6,0,20,1
RAK,CMN,RAM,44,10,0,10,0
AGA,CMN,RAM,53,7,0,4,0
RAK,STN,RYR,189,5,4,6,1
LHR,CMN,RAM,199,7,3,15,1
RAK,CDG,RYR,170,11,6,19,1
STN,RAK,RYR,202,11,5,18,0
CDG,FEZ,RAM,187,8,5,17,1
CDG,CMN,RAM,177,8,0,10,0
LHR,RAK,RAM,190,8,3,9,1
CMN,FEZ,RAM,48,4,6,7,0
CMN,OUD,RAM,61,8,5,14,1
MAD,CMN,RAM,116,8,0,11,1
RBA,MAD,RAM,104,8,2,15,1
CMN,MAD,RAM,129,10,4,17,1
TNG,MAD,RAM,98,1,4,22,1
CMN,JFK,RAM,456,7,6,22,1
AGA,CMN,RAM,58,1,4,23,1
CDG,AGA,RAM,210,10,5,17,0
RAK,CDG,RAM,177,4,5,15,0
CMN,JFK,RAM,405,6,2,11,0
CMN,BRU,RAM,174,5,6,12,1
CDG,AGA,RAM,203,12,0,19,1
CMN,RAK,RAM,45,5,6,12,0
AGA,STN,RYR,218,1,4,18,0
TNG,CDG,RAM,153,1,0,15,1
FEZ,CDG,RAM,170,4,4,9,1
CMN,TNG,RAM,49,2,1,20,0
AGA,STN,RYR,216,10,6,22,1
BCN,CMN,RAM,125,9,3,6,1
CDG,FEZ,RAM,192,10,4,14,1
CMN,IAD,RAM,427,7,6,10,0
CMN,NDR,RAM,71,7,1,8,0
CMN,NBO,RAM,405,6,1,16,1
JFK,CMN,RAM,440,10,0,16,0
CMN,FRA,RAM,190,1,1,15,1
AGA,CDG,RAM,183,7,4,15,1
LHR,CMN,RAM,195,6,0,13,1
CMN,AGA,RAM,51,3,2,20,0
JFK,CMN,RAM,397,9,0,17,1
JFK,CMN,RAM,441,4,3,9,1
CDG,CMN,RAM,177,6,0,21,1
CMN,GVA,RAM,171,5,2,5,0
